,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
84,40.182,CHEM SOC REV,55,2,10,15,8,4,0,5,7,3,1,0,Acta Biomaterialia
85,3.098,MOLECULES,55,2,9,5,10,9,3,4,6,4,3,0,Acta Biomaterialia
86,2.137,POLYM ADVAN TECHNOL,54,2,1,6,5,9,6,8,9,5,0,3,Acta Biomaterialia
87,3.483,POLYMER,54,3,4,6,7,5,6,8,6,4,1,4,Acta Biomaterialia
88,3.709,SOFT MATTER,53,3,4,4,11,5,3,5,6,4,1,7,Acta Biomaterialia
89,3.507,BIOTECHNOL J,52,3,15,8,7,5,7,3,3,1,0,0,Acta Biomaterialia
90,6.848,DRUG DISCOV TODAY,52,4,10,7,5,7,9,3,4,1,2,0,Acta Biomaterialia
91,,REGEN BIOMATER,52,0,3,4,9,5,8,6,11,3,2,1,Acta Biomaterialia
92,2.576,ADV ENG MATER,50,0,1,3,7,6,7,6,12,3,3,2,Acta Biomaterialia
93,3.952,BIOTECHNOL BIOENG,50,0,5,16,6,6,6,4,5,1,1,0,Acta Biomaterialia
94,1.124,P I MECH ENG H,50,0,3,4,4,11,4,4,5,9,3,3,Acta Biomaterialia
95,3.989,STEM CELLS INT,49,4,6,12,9,6,1,5,4,2,0,0,Acta Biomaterialia
96,13.660,ADV DRUG DELIVER REV,48,4,9,8,7,7,5,4,1,3,0,0,Acta Biomaterialia
97,,ONCOTARGET,48,2,9,11,4,5,6,3,1,2,1,4,Acta Biomaterialia
98,2.352,POLYM INT,48,2,0,8,6,7,5,2,9,6,0,3,Acta Biomaterialia
99,4.963,STEM CELL RES THER,48,7,7,8,10,4,5,2,2,2,0,1,Acta Biomaterialia
100,2.956,J AM CERAM SOC,47,0,1,4,3,4,8,5,7,8,3,4,Acta Biomaterialia
