,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
79,6.142,BREAST CANCER RES,13,0,0,2,3,2,0,1,3,2,0,0,NATURE CELL BIOLOGY
80,5.922,BRIT J CANCER,13,0,1,4,1,1,0,2,3,0,0,1,NATURE CELL BIOLOGY
81,10.101,GENOME RES,13,0,1,2,1,2,2,0,1,1,0,3,NATURE CELL BIOLOGY
82,4.651,BBA-MOL CELL RES,12,0,2,2,1,2,1,1,0,0,0,3,NATURE CELL BIOLOGY
83,3.857,BIOCHEM J,12,0,0,0,1,2,3,0,0,1,1,4,NATURE CELL BIOLOGY
84,2.997,BIOCHEMISTRY-US,12,0,0,0,0,0,1,1,0,1,0,9,NATURE CELL BIOLOGY
85,6.448,J INVEST DERMATOL,12,0,0,1,0,0,0,0,0,0,2,9,NATURE CELL BIOLOGY
86,3.454,AM J PHYSIOL-CELL PH,11,0,0,1,0,0,1,0,1,0,1,7,NATURE CELL BIOLOGY
87,2.559,BIOCHEM BIOPH RES CO,11,0,0,0,0,1,1,0,0,2,2,5,NATURE CELL BIOLOGY
88,15.393,CELL RES,11,0,1,2,2,1,3,1,0,1,0,0,NATURE CELL BIOLOGY
89,15.211,CIRC RES,11,0,0,0,1,0,2,0,3,0,1,4,NATURE CELL BIOLOGY
90,4.461,DNA REPAIR,11,0,0,3,2,0,0,1,0,2,1,2,NATURE CELL BIOLOGY
91,5.595,FASEB J,11,1,1,0,0,1,0,0,0,0,0,8,NATURE CELL BIOLOGY
92,3.998,METHODS,11,1,2,0,1,1,2,0,1,1,0,2,NATURE CELL BIOLOGY
93,13.843,NAT CHEM BIOL,11,0,1,1,2,1,2,1,1,0,2,0,NATURE CELL BIOLOGY
94,20.154,ANNU REV BIOCHEM,10,0,1,1,0,1,1,0,1,0,0,5,NATURE CELL BIOLOGY
95,3.950,J PROTEOME RES,10,0,1,0,0,1,1,1,2,1,0,3,NATURE CELL BIOLOGY
96, ,METHOD MOL BIOL,10,0,0,1,1,3,3,1,0,1,0,0,NATURE CELL BIOLOGY
97,3.184,BIOL REPROD,9,0,0,0,0,1,0,0,2,1,0,5,NATURE CELL BIOLOGY
98,5.638,CELL DEATH DIS,9,1,2,3,0,1,1,1,0,0,0,0,NATURE CELL BIOLOGY
99,4.995,CURR OPIN GENET DEV,9,0,1,0,1,0,1,1,2,0,1,2,NATURE CELL BIOLOGY
100,7.273,DIABETES,9,0,0,0,1,4,1,0,0,1,0,2,NATURE CELL BIOLOGY
