,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
77,3.719,BRAIN IMAGING BEHAV,91,0,0,7,3,5,6,3,4,15,7,41,NATURE REVIEWS NEUROSCIENCE
78,3.152,FRONT NEUROANAT,91,4,4,7,2,9,1,2,3,14,9,36,NATURE REVIEWS NEUROSCIENCE
79,3.831,FRONT PHARMACOL,91,2,5,6,2,8,5,6,5,4,2,46,NATURE REVIEWS NEUROSCIENCE
80,6.045,J CEREBR BLOOD F MET,90,0,1,5,14,9,7,8,2,7,2,35,NATURE REVIEWS NEUROSCIENCE
81,5.559,PAIN,90,1,1,7,5,14,5,5,8,8,3,33,NATURE REVIEWS NEUROSCIENCE
82,2.517,PHYSIOL BEHAV,89,0,1,4,7,3,4,4,2,22,8,34,NATURE REVIEWS NEUROSCIENCE
83,4.011,J BIOL CHEM,87,0,5,7,5,12,4,1,10,3,5,35,NATURE REVIEWS NEUROSCIENCE
84,41.058,SCIENCE,87,5,4,4,12,10,2,2,2,3,7,36,NATURE REVIEWS NEUROSCIENCE
85,2.073,FRONT COMPUT NEUROSC,86,0,4,5,4,3,4,5,7,6,9,39,NATURE REVIEWS NEUROSCIENCE
86,3.222,PSYCHOPHARMACOLOGY,86,1,3,4,2,3,5,12,8,15,8,25,NATURE REVIEWS NEUROSCIENCE
87,4.902,HUM MOL GENET,83,3,4,6,5,7,6,6,9,4,5,28,NATURE REVIEWS NEUROSCIENCE
88,2.857,FRONT PSYCHIATRY,82,0,2,4,1,8,5,9,5,11,10,27,NATURE REVIEWS NEUROSCIENCE
89,3.440,BRAIN RES BULL,80,0,3,3,4,5,7,5,2,6,8,37,NATURE REVIEWS NEUROSCIENCE
90,2.234,NEURAL REGEN RES,79,6,3,1,1,5,6,3,4,6,6,38,NATURE REVIEWS NEUROSCIENCE
91,5.578,ADDICT BIOL,77,0,2,2,1,1,2,27,2,7,3,30,NATURE REVIEWS NEUROSCIENCE
92,5.193,J NEUROINFLAMM,77,2,3,9,10,5,2,8,0,6,4,28,NATURE REVIEWS NEUROSCIENCE
93,4.211,ACS CHEM NEUROSCI,76,0,2,4,4,6,2,6,5,2,4,41,NATURE REVIEWS NEUROSCIENCE
94,3.614,CLIN NEUROPHYSIOL,76,0,3,4,5,2,9,4,4,6,8,31,NATURE REVIEWS NEUROSCIENCE
95,3.312,MOL CELL NEUROSCI,75,0,4,5,6,5,5,3,8,5,3,31,NATURE REVIEWS NEUROSCIENCE
96,2.671,LEARN MEMORY,74,0,1,8,4,7,3,2,7,10,2,30,NATURE REVIEWS NEUROSCIENCE
97,2.565,COGN AFFECT BEHAV NE,73,0,2,5,3,1,1,6,9,5,7,34,NATURE REVIEWS NEUROSCIENCE
98,3.786,J AFFECT DISORDERS,73,0,0,4,3,4,8,7,4,14,8,21,NATURE REVIEWS NEUROSCIENCE
99,5.002,J NEUROTRAUM,73,0,1,2,2,15,5,5,5,6,1,31,NATURE REVIEWS NEUROSCIENCE
100,3.603,NEUROCHEM INT,72,0,2,7,1,7,4,1,3,7,7,33,NATURE REVIEWS NEUROSCIENCE
