,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
76,3.495,BIOPHYS J,21,0,1,1,0,3,0,1,1,2,2,10,NATURE REVIEWS NEUROSCIENCE
77,23.290,CELL STEM CELL,20,4,7,2,0,1,2,0,1,0,3,0,NATURE REVIEWS NEUROSCIENCE
78,13.251,J CLIN INVEST,20,0,1,3,1,1,3,2,1,1,1,6,NATURE REVIEWS NEUROSCIENCE
79,5.135,SLEEP,20,0,0,1,0,3,3,3,2,1,0,7,NATURE REVIEWS NEUROSCIENCE
80,4.907,CORTEX,19,0,4,6,0,4,3,1,0,0,0,1,NATURE REVIEWS NEUROSCIENCE
81,3.961,ENDOCRINOLOGY,19,0,0,0,0,0,1,1,3,1,1,12,NATURE REVIEWS NEUROSCIENCE
82,3.244,NEUROBIOL LEARN MEM,19,0,2,3,2,0,0,3,1,2,1,5,NATURE REVIEWS NEUROSCIENCE
83,5.540,PLOS GENET,19,1,1,3,2,3,4,2,1,1,0,1,NATURE REVIEWS NEUROSCIENCE
84,4.731,PSYCHONEUROENDOCRINO,19,0,2,3,5,1,0,2,2,1,0,3,NATURE REVIEWS NEUROSCIENCE
85,2.507,BEHAV NEUROSCI,18,0,0,2,0,0,0,3,2,0,0,11,NATURE REVIEWS NEUROSCIENCE
86,4.927,HUM BRAIN MAPP,18,1,2,2,1,3,2,1,1,2,0,3,NATURE REVIEWS NEUROSCIENCE
87,2.671,LEARN MEMORY,18,1,0,0,1,1,0,1,1,4,1,8,NATURE REVIEWS NEUROSCIENCE
88,41.465,NAT REV GENET,18,0,3,1,6,2,0,1,1,0,1,3,NATURE REVIEWS NEUROSCIENCE
89,22.774,ANNU REV PSYCHOL,17,1,5,0,0,1,1,1,0,2,2,4,NATURE REVIEWS NEUROSCIENCE
90,5.846,GLIA,17,1,0,2,1,4,2,0,0,0,2,5,NATURE REVIEWS NEUROSCIENCE
91,35.724,NAT BIOTECHNOL,17,1,4,2,3,0,2,2,0,1,0,2,NATURE REVIEWS NEUROSCIENCE
92,19.064,NAT CELL BIOL,17,0,1,0,2,0,0,1,1,1,5,6,NATURE REVIEWS NEUROSCIENCE
93,7.230,PSYCHOL REV,17,0,0,1,1,0,0,0,1,0,0,14,NATURE REVIEWS NEUROSCIENCE
94,9.247,CSH PERSPECT BIOL,16,0,2,8,0,0,1,4,1,0,0,0,NATURE REVIEWS NEUROSCIENCE
95,1.806,EXP BRAIN RES,16,0,0,0,1,0,3,0,0,1,0,11,NATURE REVIEWS NEUROSCIENCE
96,2.779,J NEURAL TRANSM,16,0,0,1,1,1,0,4,0,1,2,6,NATURE REVIEWS NEUROSCIENCE
97,2.662,J NEUROSCI RES,16,3,0,0,0,1,2,0,2,0,1,7,NATURE REVIEWS NEUROSCIENCE
98,3.512,MOL BIOL CELL,16,3,1,1,1,1,1,1,4,1,1,1,NATURE REVIEWS NEUROSCIENCE
99,1.266,NEUROREPORT,16,0,0,0,0,1,0,0,0,1,1,13,NATURE REVIEWS NEUROSCIENCE
100,24.014,PHYSIOL REV,16,0,1,1,0,0,0,1,0,1,4,8,NATURE REVIEWS NEUROSCIENCE
