,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
87,5.587,STEM CELLS,26,0,2,0,2,1,6,5,0,3,3,4,CELL RESEARCH
88,3.923,J CELL PHYSIOL,25,0,1,2,2,1,4,4,4,4,0,3,CELL RESEARCH
89,9.326,MOL PLANT,25,0,0,0,3,9,5,2,0,0,4,2,CELL RESEARCH
90,8.749,EMBO REP,24,3,2,4,7,2,1,3,0,0,1,1,CELL RESEARCH
91,4.302,J CELL MOL MED,24,0,1,3,6,1,2,2,2,1,1,5,CELL RESEARCH
92,13.251,J CLIN INVEST,24,0,3,2,3,1,2,4,3,4,2,0,CELL RESEARCH
93,5.076,MOL NEUROBIOL,24,0,0,1,4,1,4,0,1,1,3,9,CELL RESEARCH
94,7.126,REDOX BIOL,24,0,2,3,7,0,1,4,1,0,3,3,CELL RESEARCH
95,3.857,BIOCHEM J,23,0,1,2,5,8,1,2,2,1,1,0,CELL RESEARCH
96,4.416,FRONT ONCOL,23,2,2,2,4,1,2,2,0,3,3,2,CELL RESEARCH
97,3.211,GENES NUTR,23,0,5,12,0,0,6,0,0,0,0,0,CELL RESEARCH
98,3.249,J CANCER,23,0,1,2,5,0,3,2,0,0,5,5,CELL RESEARCH
99,6.217,J EXP CLIN CANC RES,23,1,0,2,2,2,1,4,2,5,1,3,CELL RESEARCH
100,4.066,J GENET GENOMICS,23,4,3,2,4,4,3,0,2,1,0,0,CELL RESEARCH
