,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
80, ,FRONT SYST NEUROSCI,120,3,14,17,26,10,6,14,12,2,16,0,JOURNAL OF NEUROSCIENCE
81,3.961,ENDOCRINOLOGY,119,2,6,7,4,4,9,4,3,7,12,61,JOURNAL OF NEUROSCIENCE
82,3.877,FRONT NEUROSCI-SWITZ,118,2,16,22,21,14,15,9,7,7,2,3,JOURNAL OF NEUROSCIENCE
83,7.230,PSYCHOL REV,116,0,1,1,5,4,3,1,8,1,3,89,JOURNAL OF NEUROSCIENCE
84,3.131,FRONT NEURAL CIRCUIT,114,3,13,13,26,27,20,0,7,3,1,1,JOURNAL OF NEUROSCIENCE
85, ,PSYCHOL SCI,109,1,1,8,6,11,6,7,6,11,12,40,JOURNAL OF NEUROSCIENCE
86, ,BRAIN RES REV,106,0,0,0,0,0,0,1,3,8,4,90,JOURNAL OF NEUROSCIENCE
87,3.614,CLIN NEUROPHYSIOL,105,1,6,4,4,3,4,4,1,8,4,66,JOURNAL OF NEUROSCIENCE
88,3.174,PROG BRAIN RES,105,0,5,4,10,4,6,4,5,1,5,61,JOURNAL OF NEUROSCIENCE
89,4.401,J CELL SCI,103,0,1,8,2,11,14,4,4,8,6,45,JOURNAL OF NEUROSCIENCE
90,6.045,J CEREBR BLOOD F MET,103,6,9,5,5,5,11,5,9,3,7,38,JOURNAL OF NEUROSCIENCE
91,3.813,MOL CELL BIOL,103,0,0,1,2,3,2,1,0,1,3,90,JOURNAL OF NEUROSCIENCE
92,15.876,ACTA NEUROPATHOL,101,2,15,11,5,4,3,2,10,7,1,41,JOURNAL OF NEUROSCIENCE
93,6.810,BRIT J PHARMACOL,98,2,2,11,1,6,6,5,6,3,8,48,JOURNAL OF NEUROSCIENCE
94,5.067,EPILEPSIA,98,1,10,10,5,9,13,7,4,8,2,29,JOURNAL OF NEUROSCIENCE
95,7.461,NEUROSCIENTIST,93,3,5,4,5,12,6,3,5,5,7,38,JOURNAL OF NEUROSCIENCE
96,3.138,FRONT BEHAV NEUROSCI,92,0,4,15,19,15,10,11,9,8,1,0,JOURNAL OF NEUROSCIENCE
97,1.927,VISUAL NEUROSCI,92,0,1,4,2,2,4,1,0,0,0,78,JOURNAL OF NEUROSCIENCE
98,3.440,BRAIN RES BULL,91,1,3,0,8,3,2,2,1,1,2,68,JOURNAL OF NEUROSCIENCE
99,3.706,J PHARMACOL EXP THER,91,0,2,0,0,4,3,5,2,6,7,62,JOURNAL OF NEUROSCIENCE
100,2.559,BIOCHEM BIOPH RES CO,85,2,0,4,3,1,1,3,2,8,11,50,JOURNAL OF NEUROSCIENCE
