,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
77,11.100,AUTOPHAGY,93,0,1,4,7,10,5,10,1,12,5,38,NATURE REVIEWS MOLECULAR CELL BIOLOGY
78,5.326,CANCERS,93,0,2,2,17,2,9,1,19,7,7,27,NATURE REVIEWS MOLECULAR CELL BIOLOGY
79,8.806,BIOMATERIALS,92,0,4,2,14,4,4,11,4,9,7,33,NATURE REVIEWS MOLECULAR CELL BIOLOGY
80,5.076,MOL NEUROBIOL,91,0,2,2,7,8,8,4,9,5,4,42,NATURE REVIEWS MOLECULAR CELL BIOLOGY
81,4.368,J VIROL,90,0,2,6,7,6,5,7,10,4,11,32,NATURE REVIEWS MOLECULAR CELL BIOLOGY
82,1.984,METHOD ENZYMOL,89,0,4,7,5,9,15,8,7,6,11,17,NATURE REVIEWS MOLECULAR CELL BIOLOGY
83,3.761,VIRUSES-BASEL,89,6,6,4,7,7,5,1,4,3,15,31,NATURE REVIEWS MOLECULAR CELL BIOLOGY
84,4.902,HUM MOL GENET,88,0,5,5,7,5,8,6,5,6,6,35,NATURE REVIEWS MOLECULAR CELL BIOLOGY
85,3.098,MOLECULES,88,1,2,2,9,0,6,4,3,2,13,46,NATURE REVIEWS MOLECULAR CELL BIOLOGY
86,13.251,J CLIN INVEST,87,0,5,3,6,8,13,3,5,6,9,29,NATURE REVIEWS MOLECULAR CELL BIOLOGY
87,3.950,J PROTEOME RES,87,0,5,4,9,2,8,4,11,0,3,41,NATURE REVIEWS MOLECULAR CELL BIOLOGY
88,8.749,EMBO REP,86,2,6,5,9,8,10,6,7,9,6,18,NATURE REVIEWS MOLECULAR CELL BIOLOGY
89,3.748,MECH AGEING DEV,86,0,6,8,13,6,10,6,6,5,2,24,NATURE REVIEWS MOLECULAR CELL BIOLOGY
90,2.936,RSC ADV,85,2,5,3,5,4,8,1,3,4,14,36,NATURE REVIEWS MOLECULAR CELL BIOLOGY
91,3.679,BBA-GEN SUBJECTS,84,0,2,4,15,5,9,2,4,4,4,35,NATURE REVIEWS MOLECULAR CELL BIOLOGY
92,3.333,INT J ONCOL,84,0,1,2,22,4,6,3,4,2,7,33,NATURE REVIEWS MOLECULAR CELL BIOLOGY
93,10.015,CURR OPIN CELL BIOL,83,1,5,8,12,8,11,5,7,10,5,11,NATURE REVIEWS MOLECULAR CELL BIOLOGY
94,4.461,DNA REPAIR,81,1,12,5,12,9,6,1,8,0,6,21,NATURE REVIEWS MOLECULAR CELL BIOLOGY
95,3.831,FRONT PHARMACOL,80,0,2,1,7,5,10,4,2,3,8,38,NATURE REVIEWS MOLECULAR CELL BIOLOGY
96,2.959,J CELL BIOCHEM,80,1,2,2,4,4,4,3,5,6,3,46,NATURE REVIEWS MOLECULAR CELL BIOLOGY
97,1.760,ADV EXP MED BIOL,79,0,3,2,7,1,5,4,5,4,5,43,NATURE REVIEWS MOLECULAR CELL BIOLOGY
98,6.530,ANTIOXID REDOX SIGN,79,0,5,4,21,2,7,1,2,5,2,30,NATURE REVIEWS MOLECULAR CELL BIOLOGY
99,4.490,RNA,79,5,6,15,10,8,7,5,3,2,1,17,NATURE REVIEWS MOLECULAR CELL BIOLOGY
100,5.236,MOL CELL PROTEOMICS,78,5,4,4,9,1,8,1,6,5,1,34,NATURE REVIEWS MOLECULAR CELL BIOLOGY
