,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
83,1.984,METHOD ENZYMOL,93,0,3,6,10,11,2,11,12,5,4,29,NATURE CELL BIOLOGY
84,2.217,BIOL OPEN,92,1,5,6,8,5,3,11,2,3,7,41,NATURE CELL BIOLOGY
85,4.368,J VIROL,92,0,1,4,3,5,3,2,7,16,11,40,NATURE CELL BIOLOGY
86,,RESULTS PROBL CELL D,91,0,4,5,4,15,2,14,3,4,7,33,NATURE CELL BIOLOGY
87,5.076,MOL NEUROBIOL,89,0,1,1,4,8,2,13,10,12,7,31,NATURE CELL BIOLOGY
88,6.158,PLOS PATHOG,89,0,4,3,4,5,3,5,9,11,5,40,NATURE CELL BIOLOGY
89,1.760,ADV EXP MED BIOL,88,0,2,2,4,12,3,11,7,3,14,30,NATURE CELL BIOLOGY
90,8.220,BBA-REV CANCER,87,1,3,11,5,9,4,11,3,5,8,27,NATURE CELL BIOLOGY
91,4.400,TRAFFIC,86,1,4,6,10,8,9,7,2,5,6,28,NATURE CELL BIOLOGY
92,3.286,OPEN BIOL,83,3,3,6,7,8,7,13,1,8,6,21,NATURE CELL BIOLOGY
93,5.500,CELL PHYSIOL BIOCHEM,82,2,4,7,4,4,5,8,6,9,4,29,NATURE CELL BIOLOGY
94,3.748,MECH AGEING DEV,80,0,1,6,5,6,6,5,1,13,9,28,NATURE CELL BIOLOGY
95,6.020,FREE RADICAL BIO MED,79,1,3,5,6,9,1,10,8,9,1,26,NATURE CELL BIOLOGY
96,4.539,J IMMUNOL,78,1,5,4,3,7,5,4,4,3,4,38,NATURE CELL BIOLOGY
97,3.761,VIRUSES-BASEL,78,3,5,6,4,3,4,5,4,12,2,30,NATURE CELL BIOLOGY
98,4.300,FRONT CELL NEUROSCI,77,1,0,0,2,2,4,8,3,6,9,42,NATURE CELL BIOLOGY
99,3.563,MOL CELL ENDOCRINOL,76,0,5,11,3,8,4,11,7,7,4,16,NATURE CELL BIOLOGY
100,2.583,BIOMED RES INT,74,1,4,7,2,4,5,5,2,4,13,27,NATURE CELL BIOLOGY
