,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
84,1.984,METHOD ENZYMOL,140,0,2,4,10,9,2,8,18,4,14,69,JOURNAL OF CELL BIOLOGY
85,4.539,J IMMUNOL,139,0,2,3,4,3,10,0,6,7,4,100,JOURNAL OF CELL BIOLOGY
86,6.378,SCI SIGNAL,139,1,9,8,5,6,10,5,8,8,10,69,JOURNAL OF CELL BIOLOGY
87,3.622,INT REV CEL MOL BIO,138,0,4,5,6,11,13,6,18,9,10,56,JOURNAL OF CELL BIOLOGY
88,4.277,ANN NY ACAD SCI,136,0,0,3,1,5,1,1,8,0,5,112,JOURNAL OF CELL BIOLOGY
89,15.211,CIRC RES,134,0,3,5,3,14,6,9,7,7,7,73,JOURNAL OF CELL BIOLOGY
90,3.286,OPEN BIOL,133,0,5,6,7,9,3,5,9,8,6,75,JOURNAL OF CELL BIOLOGY
91,41.577,NATURE,131,3,4,4,10,8,10,2,6,7,3,74,JOURNAL OF CELL BIOLOGY
92,3.677,FRONT PLANT SCI,130,0,1,5,3,8,6,3,4,2,5,93,JOURNAL OF CELL BIOLOGY
93,13.251,J CLIN INVEST,130,0,4,5,6,9,6,7,4,9,1,79,JOURNAL OF CELL BIOLOGY
94,4.936,OXID MED CELL LONGEV,129,1,12,7,4,3,2,12,9,3,6,70,JOURNAL OF CELL BIOLOGY
95,2.210,NUCLEUS-PHILA,128,1,10,6,10,8,7,5,4,4,4,69,JOURNAL OF CELL BIOLOGY
96,3.191,GENES-BASEL,126,1,4,7,5,10,8,4,11,9,5,62,JOURNAL OF CELL BIOLOGY
97,9.462,GENE DEV,125,3,9,15,6,7,4,8,10,3,4,56,JOURNAL OF CELL BIOLOGY
98,3.718,CELL CALCIUM,122,1,6,7,4,4,4,3,2,4,4,83,JOURNAL OF CELL BIOLOGY
99,6.020,FREE RADICAL BIO MED,122,0,5,5,4,2,9,12,7,4,5,69,JOURNAL OF CELL BIOLOGY
100,1.664,ONCOL LETT,122,1,1,3,3,3,5,5,5,4,7,85,JOURNAL OF CELL BIOLOGY
